iter	Passed	Remaining
271	2765	7402
272	2775	7390
273	2784	7378
274	2793	7364
275	2802	7352
276	2810	7336
277	2819	7323
278	2826	7305
279	2836	7293
280	2844	7277
281	2852	7263
282	2860	7246
283	2869	7233
284	2876	7217
285	2885	7203
286	2894	7190
287	2903	7179
288	2911	7162
289	2920	7149
290	2928	7134
291	2937	7122
292	2946	7109
293	2954	7094
294	2963	7082
295	2971	7068
296	2981	7057
297	2990	7045
298	2998	7030
299	3005	7013
300	3013	6998
301	3020	6981
302	3028	6965
303	3036	6950
304	3044	6936
305	3051	6920
306	3059	6906
307	3066	6890
308	3073	6872
309	3080	6856
310	3087	6840
311	3095	6826
312	3101	6808
313	3109	6794
314	3116	6776
315	3123	6761
316	3130	6744
317	3136	6726
318	3144	6712
319	3151	6696
320	3159	6684
321	3167	6668
322	3174	6654
323	3181	6637
324	3189	6624
325	3196	6609
326	3205	6596
327	3212	6582
328	3221	6570
329	3228	6554
330	3235	6540
331	3242	6524
332	3248	6507
333	3256	6493
334	3263	6477
335	3270	6463
336	3277	6448
337	3285	6434
338	3291	6418
339	3298	6402
340	3305	6388
341	3313	6374
342	3320	6359
343	3327	6345
344	3335	6331
345	3341	6316
346	3350	6304
347	3357	6290
348	3365	6278
349	3372	6263
350	3379	6249
351	3387	6236
352	3395	6222
353	3403	6210
354	3409	6195
355	3417	6182
356	3424	6167
357	3431	6154
358	3438	6139
359	3445	6126
360	3452	6111
361	3459	6097
362	3467	6084
363	3474	6070
364	3481	6056
365	3489	6044
366	3497	6033
367	3505	6019
368	3513	6007
369	3519	5993
370	3527	5981
371	3535	5969
372	3544	5958
373	3552	5946
374	3560	5934
375	3569	5923
376	3578	5914
377	3586	5901
378	3594	5890
379	3601	5876
380	3610	5865
381	3617	5851
382	3625	5840
383	3632	5827
384	3641	5816
385	3648	5804
386	3658	5794
387	3666	5783
388	3676	5774
389	3684	5763
390	3692	5751
391	3700	5739
392	3709	5729
393	3717	5717
394	3726	5707
395	3734	5695
396	3742	5684
397	3750	5673
398	3759	5662
399	3768	5652
400	3777	5642
401	3786	5632
402	3794	5620
403	3803	5610
404	3811	5599
405	3822	5592
